"Value","Comments"
1,"Values specified in SUEWS_SiteSelect.txt are used. Note that UMEP provides tools to calculate these]. See Kent et al. (2017a) for recommendations on methods. Kent et al. (2017b) have developed a method to include vegetation which is also avaialble within UMEP.
Kent CW, CSB Grimmond, J Barlow, D Gatey, S Kotthaus, F Lindberg, CH Halios 2017a: Evaluation of urban local-scale aerodynamic parameters: implications for the vertical profile of wind and source areas Boundary Layer Meteorology 164,183–213 doi: 10.1007/s10546-017-0248-z
Kent CW, S Grimmond, D Gatey 2017b: Aerodynamic roughness parameters in cities: inclusion of vegetation Journal of Wind Engineering & Industrial Aerodynamics http://dx.doi.org/10.1016/j.jweia.2017.07.016"
2,"z0m and zd are calculated using 'rule of thumb' (Grimmond and Oke 1999 [30] ) using mean building and tree height specified in SUEWS_SiteSelect.txt .
z0m and zd are adjusted with time to account for seasonal variation in porosity of deciduous trees."
3,"z0m and zd are calculated based on the MacDonald et al. (1998) [31] method using mean building and tree heights, plan area fraction and frontal areal index specified in SUEWS_SiteSelect.txt .
z0m and zd are adjusted with time to account for seasonal variation in porosity of deciduous trees."
