"Referencing Table","Requirement","Comment"
"`SUEWS_NonVeg.txt`","`MU`","Effective surface emissivity. View factors should be taken into account."
"`SUEWS_Veg.txt`","`MU`","Effective surface emissivity. View factors should be taken into account. Example values [-] 0.98 EveTr Oke (1987) [35]  0.98 DecTr Oke (1987) [35]  0.93 Grass Oke (1987) [35] "
"`SUEWS_Water.txt`","`MU`","Effective surface emissivity. View factors should be taken into account Example values [-] 0.95 Water Oke (1987) [35] "
"`SUEWS_Snow.txt`","`MU`","Effective surface emissivity. View factors should be taken into account Example values [-] 0.99 Järvi et al. (2014) [15] "
